Sample Name,Participant,Ancestry,sex,Age,Education,Income Level,Cumulative Score Discrimination,,Cumulative Score Yourself,,Cumulative Score Some Close to you,,Total Cumulative Score
NA22343-001,2,black,Female,22,some college,"$80,000 to 99,999",7,,4,,3,,14
,4,black,Female,22,some college,"$5,000 to 9,999",5,,0,,4,,9
,24,black,Female,23,college degree or higher,"$50,000-59,999",7,,3,,6,,16
,25,black,Female,32,college degree or higher,"$100,000 to 149,999",0,,0,,0,,0
,27,black,Female,22,college degree or higher,"$30,000-39,999",2,,1,,1,,4
,28,black,Female,20,some college,"Less than $5,000",6,27,2,10,5,5,13
,1,white,Female,22,college degree or higher,"$10,000 to 19,999",2,,0,,2,,4
,5,white,Female,22,some college,"$10,000 to 19,999",3,,0,,3,,6
,6,white,Female,22,some college,"$10,000 to 19,999",0,,0,,0,,0
,7,white,Female,23,college degree or higher,"$30,000 to 39,999",3,,1,,3,,7
NA22346-001,9,white,Female,22,college degree or higher,"$80,000 to 99,999",6,,2,,4,,12
NA22348-001,11,white,Female,20,some college,"$10,000 to 19,999",0,,0,,0,,0
NA22349-001,12,white,Female,19,some college,"$Less than 5,000",0,,0,,0,,0
NA22351-001,16,white,Female,21,some college,"$150,000 to 199,999",1,,1,,0,,2
NA22352-001,17,white,Female,22,some college,"$Less than 5,000",0,15,0,4,0,12,0
,29,white,Female,20,some college,"$5,000 to 9,999",,,,,,,
,Participant,Ancestry,sex,Age,Education,Income Level,Cumulative Score Discrimination,,Cumulative Score Yourself,,Cumulative Score Some Close to you,,Total Cumulative Score
NA22354-001,20,black,Male,34,some college,"$150,000 to 199,999",4,,1,,3,,8
,21,black,Male,33,college degree or higher,"$100,000 to 149,999",3,,1,,2,,6
,22,black,Male,21,college degree or higher,"$10,000 to 19,999",6,,6,,2,,14
,23,black,Male,29,college degree or higher,"$100,000 to 149,999",3,,2,,3,,8
,26,black,Male,21,some college,"$200,000 or more",7,23,4,14,6,16,17
,30,black,Male,,some college,"$5,000 to 9,999",,,,,,,
,,,,,,,,,,,,,
NA22344-001,3,white,Male,21,some college,"$150,000 to 199,999",0,,0,,0,,0
NA22345-001,8,white,Male,22,some college,"$Less than 5,000",3,,2,,2,,7
NA22347-001,10,white,Male,22,some college,"$10,000 to 19,999",1,,0,,1,,2
,13,white,Male,19,some college,"$Less than 5,000",1,,0,,1,,2
NA22350-001,14,white,Male,20,college degree or higher,"$200,000 or more",0,,0,,0,,0
,15,white,Male,19,some college,"$150,000 to 199,999",1,,0,,1,,2
,18,white,Male,22,high school,"$100,000 to 149,999",2,,1,,0,,3
NA22353-001,19,white,Male,22,some college,"$10,000 to 19,999",0,8,0,3,0,5,0